SystemTime_ISO,MsgType,FC_Time_us,alt,hdg,lat,lon,mavpackettype,relative_alt,vx,vy,vz
2025-12-14 23:49:50.364,GLOBAL_POSITION_INT,99200,0,9579,0,0,GLOBAL_POSITION_INT,-2310,0,3,-1
2025-12-14 23:49:50.465,GLOBAL_POSITION_INT,99300,0,9581,0,0,GLOBAL_POSITION_INT,-2354,0,3,-1
2025-12-14 23:49:50.564,GLOBAL_POSITION_INT,99400,0,9582,0,0,GLOBAL_POSITION_INT,-2288,0,3,-1
2025-12-14 23:49:50.664,GLOBAL_POSITION_INT,99500,0,9584,0,0,GLOBAL_POSITION_INT,-2349,0,3,-1
2025-12-14 23:49:50.765,GLOBAL_POSITION_INT,99600,0,9586,0,0,GLOBAL_POSITION_INT,-2470,0,3,-1
2025-12-14 23:49:50.865,GLOBAL_POSITION_INT,99700,0,9588,0,0,GLOBAL_POSITION_INT,-2343,0,3,-1
2025-12-14 23:49:50.965,GLOBAL_POSITION_INT,99800,0,9591,0,0,GLOBAL_POSITION_INT,-2563,0,3,-1
2025-12-14 23:49:51.065,GLOBAL_POSITION_INT,99900,0,9592,0,0,GLOBAL_POSITION_INT,-2299,0,3,-1
2025-12-14 23:49:51.165,GLOBAL_POSITION_INT,100000,0,9594,0,0,GLOBAL_POSITION_INT,-2514,0,3,-1
2025-12-14 23:49:51.265,GLOBAL_POSITION_INT,100100,0,9596,0,0,GLOBAL_POSITION_INT,-2404,0,3,-1
2025-12-14 23:49:51.365,GLOBAL_POSITION_INT,100200,0,9599,0,0,GLOBAL_POSITION_INT,-2525,0,3,-1
2025-12-14 23:49:51.465,GLOBAL_POSITION_INT,100300,0,9601,0,0,GLOBAL_POSITION_INT,-2530,0,3,-1
2025-12-14 23:49:51.565,GLOBAL_POSITION_INT,100400,0,9603,0,0,GLOBAL_POSITION_INT,-2371,0,3,-1
2025-12-14 23:49:51.665,GLOBAL_POSITION_INT,100500,0,9605,0,0,GLOBAL_POSITION_INT,-2536,0,3,0
2025-12-14 23:49:51.765,GLOBAL_POSITION_INT,100600,0,9607,0,0,GLOBAL_POSITION_INT,-2508,0,3,0
2025-12-14 23:49:51.865,GLOBAL_POSITION_INT,100700,0,9608,0,0,GLOBAL_POSITION_INT,-2514,0,3,0
2025-12-14 23:49:51.965,GLOBAL_POSITION_INT,100800,0,9608,0,0,GLOBAL_POSITION_INT,-2503,0,3,0
2025-12-14 23:49:52.065,GLOBAL_POSITION_INT,100900,0,9610,0,0,GLOBAL_POSITION_INT,-2475,0,3,0
2025-12-14 23:49:52.165,GLOBAL_POSITION_INT,101000,0,9612,0,0,GLOBAL_POSITION_INT,-2448,0,3,0
2025-12-14 23:49:52.265,GLOBAL_POSITION_INT,101100,0,9614,0,0,GLOBAL_POSITION_INT,-2585,0,3,0
2025-12-14 23:49:52.365,GLOBAL_POSITION_INT,101200,0,9616,0,0,GLOBAL_POSITION_INT,-2332,0,3,0
2025-12-14 23:49:52.465,GLOBAL_POSITION_INT,101300,0,9618,0,0,GLOBAL_POSITION_INT,-2354,0,3,0
