SystemTime_ISO,MsgType,FC_Time_us,landed_state,mavpackettype,vtol_state
2025-12-14 23:49:50.475,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.573,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.774,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:50.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.074,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.274,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.374,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.474,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.574,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.774,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:51.975,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.075,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.274,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.375,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.476,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.576,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.775,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.876,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:52.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.074,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.276,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.375,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.475,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.575,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.675,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.775,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.875,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:53.975,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.075,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.175,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.275,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.375,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.475,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.575,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.675,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.775,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:54.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.076,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.274,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.374,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.475,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.574,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.774,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:55.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.074,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.274,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.375,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.474,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.574,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.774,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:56.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.075,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.174,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.273,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.375,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.474,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.575,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.774,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.874,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:57.974,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.074,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.175,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.274,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.374,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.474,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
