SystemTime_ISO,MsgType,FC_Time_us,airspeed,airspeed_sp,altitude,autopilot,battery,climb_rate,custom0,custom1,custom2,custom_mode,eph,epv,failure_flags,groundspeed,heading,latitude,longitude,mavpackettype,target_altitude,target_distance,target_heading,temperature_air,throttle,type,wind_heading,windspeed,wp_num
2025-12-15 00:39:22.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:22.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:22.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.121,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.421,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.621,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:23.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.121,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.421,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.621,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:24.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.121,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.422,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.522,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.622,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.722,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.822,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:25.922,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.022,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.122,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.222,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.322,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.422,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.622,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.722,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.822,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:26.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.121,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.421,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.621,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:27.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
