12-15-2025 14:00:48 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,0%@1908,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.3C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3271mW/3336mW VDD_CPU_GPU_CV 372mW/401mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:49 RAM 590/6854MB (lfb 1405x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.45C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3271mW/3334mW VDD_CPU_GPU_CV 372mW/400mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:50 RAM 590/6854MB (lfb 1404x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1897,0%@1907,0%@1905,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.45C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3312mW/3333mW VDD_CPU_GPU_CV 372mW/399mW VDD_SOC 1323mW/1324mW
12-15-2025 14:00:51 RAM 654/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,34%@1906,0%@1906,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@30.5C thermal@29.45C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3431mW/3336mW VDD_CPU_GPU_CV 496mW/402mW VDD_SOC 1362mW/1325mW
12-15-2025 14:00:52 RAM 654/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,1%@1906,0%@1908,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@30.5C thermal@29.45C AO@29.5C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3307mW/3335mW VDD_CPU_GPU_CV 413mW/403mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:53 RAM 654/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1908,0%@1907,0%@1901,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.5C AO@29C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 3307mW/3334mW VDD_CPU_GPU_CV 372mW/402mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:54 RAM 654/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,1%@1906,0%@1908,0%@1913,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3307mW/3334mW VDD_CPU_GPU_CV 372mW/401mW VDD_SOC 1323mW/1325mW
12-15-2025 14:00:55 RAM 655/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [4%@1906,1%@1907,1%@1908,1%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.8C AO@29.5C GPU@28.5C iwlwifi@35C PMIC@50C VDD_IN 3472mW/3337mW VDD_CPU_GPU_CV 496mW/403mW VDD_SOC 1320mW/1325mW
12-15-2025 14:00:56 RAM 661/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [22%@1906,27%@1907,37%@1906,14%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.65C AO@29C GPU@29C iwlwifi@35C PMIC@50C VDD_IN 4664mW/3374mW VDD_CPU_GPU_CV 1568mW/436mW VDD_SOC 1360mW/1326mW
12-15-2025 14:00:57 RAM 655/6854MB (lfb 1388x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1905,10%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29C GPU@29C iwlwifi@36C PMIC@50C VDD_IN 3472mW/3377mW VDD_CPU_GPU_CV 537mW/438mW VDD_SOC 1323mW/1326mW
