12-15-2025 13:03:56 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1907,0%@1906,0%@1896,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3341mW VDD_CPU_GPU_CV 413mW/409mW VDD_SOC 1323mW/1327mW
12-15-2025 13:03:57 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1907,0%@1907,0%@1900,0%@1904,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@30C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3340mW VDD_CPU_GPU_CV 372mW/408mW VDD_SOC 1323mW/1327mW
12-15-2025 13:03:58 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3338mW VDD_CPU_GPU_CV 372mW/406mW VDD_SOC 1323mW/1327mW
12-15-2025 13:03:59 RAM 574/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1906,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@30C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3337mW VDD_CPU_GPU_CV 372mW/405mW VDD_SOC 1323mW/1327mW
12-15-2025 13:04:01 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1906,2%@1907,1%@1908,2%@1905,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3390mW/3339mW VDD_CPU_GPU_CV 454mW/407mW VDD_SOC 1320mW/1327mW
12-15-2025 13:04:02 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1907,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3338mW VDD_CPU_GPU_CV 372mW/406mW VDD_SOC 1320mW/1326mW
12-15-2025 13:04:03 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1911,1%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3337mW VDD_CPU_GPU_CV 372mW/404mW VDD_SOC 1320mW/1326mW
12-15-2025 13:04:04 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1902,0%@1910,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3336mW VDD_CPU_GPU_CV 372mW/403mW VDD_SOC 1323mW/1326mW
12-15-2025 13:04:05 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1907,0%@1911,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3335mW VDD_CPU_GPU_CV 372mW/402mW VDD_SOC 1323mW/1326mW
12-15-2025 13:04:06 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1897,0%@1906,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3334mW VDD_CPU_GPU_CV 372mW/401mW VDD_SOC 1323mW/1326mW
