SystemTime_ISO,MsgType,FC_Time_us,brkval,freemem,freemem32,mavpackettype
2025-12-15 01:41:07.143,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:07.243,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.343,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.443,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.543,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.643,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.743,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.845,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:07.945,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:08.045,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:08.145,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:08.245,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:08.345,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:08.445,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:08.545,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:08.645,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:08.745,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:08.845,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:08.945,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.045,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.145,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.245,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.345,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.445,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.545,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:09.645,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:09.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:09.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:09.945,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.045,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.645,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:10.945,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.045,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.646,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:11.945,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.045,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.646,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:12.946,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.046,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.346,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.546,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.645,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:13.944,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.044,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.144,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.244,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.346,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.446,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.644,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.744,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.844,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:14.944,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.044,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.644,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:15.945,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.045,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.145,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.245,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.345,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.645,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:16.945,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.045,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.145,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.245,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.345,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.445,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.545,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.645,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.745,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.845,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:17.945,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:18.045,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:18.145,MEMINFO,0,0,65535,595392,MEMINFO
2025-12-15 01:41:18.245,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.345,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.445,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.545,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.645,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.745,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.845,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:18.945,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:19.045,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:19.145,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:19.245,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:19.345,MEMINFO,0,0,65535,594232,MEMINFO
2025-12-15 01:41:19.445,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:19.545,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:19.645,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:19.745,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:19.845,MEMINFO,0,0,65535,595512,MEMINFO
2025-12-15 01:41:19.945,MEMINFO,0,0,65535,595512,MEMINFO
