SystemTime_ISO,MsgType,FC_Time_us,body_pitch_rate,body_roll_rate,body_yaw_rate,mavpackettype,q,thrust,type_mask
2025-12-15 01:43:33.859,ATTITUDE_TARGET,4179842,-3.1675430363975465e-05,3.4737196983769536e-05,-1.6504735078637367e-10,ATTITUDE_TARGET,"[0.6558096408843994, -3.502020490486757e-06, -4.0882281382437213e-07, 0.7549262642860413]",0.0,0
2025-12-15 01:43:33.959,ATTITUDE_TARGET,4179942,-3.167542308801785e-05,3.473718970781192e-05,-1.6504726751964682e-10,ATTITUDE_TARGET,"[0.6557186841964722, -3.501970240904484e-06, -4.0924453514890047e-07, 0.7550053000450134]",0.0,0
2025-12-15 01:43:34.059,ATTITUDE_TARGET,4180042,-3.167542308801785e-05,3.4737186069833115e-05,-1.6504725364185902e-10,ATTITUDE_TARGET,"[0.6556497812271118, -3.501932724248036e-06, -4.095640804280265e-07, 0.7550651431083679]",0.0,0
2025-12-15 01:43:34.159,ATTITUDE_TARGET,4180142,-3.1675430363975465e-05,3.4737186069833115e-05,-1.6504729527522244e-10,ATTITUDE_TARGET,"[0.6556113362312317, -3.5019120332435705e-06, -4.0974219928102684e-07, 0.7550985813140869]",0.0,0
2025-12-15 01:43:34.259,ATTITUDE_TARGET,4180242,-3.1675419450039044e-05,3.473716787993908e-05,-1.6504715649734436e-10,ATTITUDE_TARGET,"[0.6555953621864319, -3.5019022561755264e-06, -4.098155557130667e-07, 0.75511234998703]",0.0,0
2025-12-15 01:43:34.359,ATTITUDE_TARGET,4180342,-3.167542308801785e-05,3.4737171517917886e-05,-1.6504719813070778e-10,ATTITUDE_TARGET,"[0.6556118726730347, -3.501911351122544e-06, -4.097394423752121e-07, 0.7550981640815735]",0.0,0
2025-12-15 01:43:34.459,ATTITUDE_TARGET,4180444,-3.167541217408143e-05,3.4737171517917886e-05,-1.6504712874176874e-10,ATTITUDE_TARGET,"[0.6556085348129272, -3.5019090773857897e-06, -4.097547900983045e-07, 0.7551009654998779]",0.0,0
2025-12-15 01:43:34.559,ATTITUDE_TARGET,4180544,-3.167540853610262e-05,3.473715696600266e-05,-1.650470593528297e-10,ATTITUDE_TARGET,"[0.6555676460266113, -3.501886567391921e-06, -4.0994439132191474e-07, 0.7551365494728088]",0.0,0
2025-12-15 01:43:34.659,ATTITUDE_TARGET,4180644,-3.1675430363975465e-05,3.473716787993908e-05,-1.650472120084956e-10,ATTITUDE_TARGET,"[0.65553879737854, -3.501871788103017e-06, -4.1007740492204903e-07, 0.7551615834236145]",0.0,0
2025-12-15 01:43:34.759,ATTITUDE_TARGET,4180742,-3.167542672599666e-05,3.473715696600266e-05,-1.6504714261955655e-10,ATTITUDE_TARGET,"[0.6555209755897522, -3.501861556287622e-06, -4.101597426142689e-07, 0.7551769614219666]",0.0,0
2025-12-15 01:43:34.859,ATTITUDE_TARGET,4180842,-3.1675419450039044e-05,3.473715696600266e-05,-1.6504711486398094e-10,ATTITUDE_TARGET,"[0.6555120944976807, -3.5018565540667623e-06, -4.1020118146661844e-07, 0.7551847100257874]",0.0,0
2025-12-15 01:43:34.959,ATTITUDE_TARGET,4180942,-3.167542308801785e-05,3.473715696600266e-05,-1.6504712874176874e-10,ATTITUDE_TARGET,"[0.6554809212684631, -3.501839501041104e-06, -4.1034573428078147e-07, 0.7552117705345154]",0.0,0
2025-12-15 01:43:35.059,ATTITUDE_TARGET,4181042,-3.167541217408143e-05,3.4737149690045044e-05,-1.650470315972541e-10,ATTITUDE_TARGET,"[0.6554653644561768, -3.5018304060940864e-06, -4.104176696273498e-07, 0.7552251815795898]",0.0,0
2025-12-15 01:43:35.159,ATTITUDE_TARGET,4181142,-3.1675430363975465e-05,3.473716787993908e-05,-1.650472120084956e-10,ATTITUDE_TARGET,"[0.6554681658744812, -3.5018331345781917e-06, -4.104051072317816e-07, 0.7552229166030884]",0.0,0
2025-12-15 01:43:35.259,ATTITUDE_TARGET,4181242,-3.167543763993308e-05,3.473716424196027e-05,-1.650472397640712e-10,ATTITUDE_TARGET,"[0.6554673314094543, -3.501832679830841e-06, -4.104081199329812e-07, 0.7552235126495361]",0.0,0
2025-12-15 01:43:35.359,ATTITUDE_TARGET,4181342,-3.1675441277911887e-05,3.473716787993908e-05,-1.6504726751964682e-10,ATTITUDE_TARGET,"[0.6554613709449768, -3.50182972397306e-06, -4.1043566056941927e-07, 0.7552286982536316]",0.0,0
