SystemTime_ISO,MsgType,FC_Time_us,I2Cerr,Vcc,mavpackettype
2025-12-14 21:36:48.675,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:48.694,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:48.713,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:48.734,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:48.754,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:48.775,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:48.796,HWSTATUS,0,0,5265,HWSTATUS
2025-12-14 21:36:48.815,HWSTATUS,0,0,5251,HWSTATUS
2025-12-14 21:36:48.835,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:48.854,HWSTATUS,0,0,5250,HWSTATUS
2025-12-14 21:36:48.875,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:48.895,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:48.914,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:48.935,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:48.954,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:48.975,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:48.995,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:49.015,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:49.035,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:49.054,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:49.075,HWSTATUS,0,0,5250,HWSTATUS
2025-12-14 21:36:49.094,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:49.115,HWSTATUS,0,0,5252,HWSTATUS
2025-12-14 21:36:49.135,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:49.155,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.175,HWSTATUS,0,0,5251,HWSTATUS
2025-12-14 21:36:49.194,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:49.213,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:49.235,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:49.255,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:49.275,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:49.294,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:49.314,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:49.335,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:49.354,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:49.375,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:49.395,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:49.414,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:49.434,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:49.454,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.475,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:49.495,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:49.514,HWSTATUS,0,0,5254,HWSTATUS
2025-12-14 21:36:49.535,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:49.555,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:49.575,HWSTATUS,0,0,5263,HWSTATUS
2025-12-14 21:36:49.596,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:49.615,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:49.634,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.655,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.674,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:49.696,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:49.714,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.737,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:49.755,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:49.774,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.796,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:49.814,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:49.834,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:49.854,HWSTATUS,0,0,5252,HWSTATUS
