SystemTime_ISO,MsgType,FC_Time_us,Vcc,Vservo,flags,mavpackettype
2025-12-14 21:36:48.327,POWER_STATUS,0,5254,0,1,POWER_STATUS
2025-12-14 21:36:48.347,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-14 21:36:48.367,POWER_STATUS,0,5257,0,1,POWER_STATUS
2025-12-14 21:36:48.387,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.409,POWER_STATUS,0,5262,0,1,POWER_STATUS
2025-12-14 21:36:48.427,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-14 21:36:48.447,POWER_STATUS,0,5262,0,1,POWER_STATUS
2025-12-14 21:36:48.467,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.488,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-14 21:36:48.509,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-14 21:36:48.527,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.547,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.568,POWER_STATUS,0,5263,0,1,POWER_STATUS
2025-12-14 21:36:48.588,POWER_STATUS,0,5260,0,1,POWER_STATUS
2025-12-14 21:36:48.608,POWER_STATUS,0,5258,14,1,POWER_STATUS
2025-12-14 21:36:48.627,POWER_STATUS,0,5262,14,1,POWER_STATUS
2025-12-14 21:36:48.647,POWER_STATUS,0,5256,0,1,POWER_STATUS
2025-12-14 21:36:48.668,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-14 21:36:48.688,POWER_STATUS,0,5261,0,1,POWER_STATUS
2025-12-14 21:36:48.707,POWER_STATUS,0,5259,14,1,POWER_STATUS
2025-12-14 21:36:48.727,POWER_STATUS,0,5256,14,1,POWER_STATUS
2025-12-14 21:36:48.747,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-14 21:36:48.768,POWER_STATUS,0,5258,0,1,POWER_STATUS
2025-12-14 21:36:48.788,POWER_STATUS,0,5265,0,1,POWER_STATUS
2025-12-14 21:36:48.808,POWER_STATUS,0,5251,0,1,POWER_STATUS
2025-12-14 21:36:48.827,POWER_STATUS,0,5259,0,1,POWER_STATUS
2025-12-14 21:36:48.847,POWER_STATUS,0,5250,0,1,POWER_STATUS
2025-12-14 21:36:48.867,POWER_STATUS,0,5255,0,1,POWER_STATUS
2025-12-14 21:36:48.888,POWER_STATUS,0,5255,0,1,POWER_STATUS
