SystemTime_ISO,MsgType,FC_Time_us,autopilot,base_mode,custom_mode,mavlink_version,mavpackettype,system_status,type
2025-12-14 21:38:23.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:24.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:25.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:26.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:27.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:28.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:29.341,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:30.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:31.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:32.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:33.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:34.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:35.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:36.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:37.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:38.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:39.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:40.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:41.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:42.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:43.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:44.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:45.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:46.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:47.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:48.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:49.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
