12-15-2025 15:03:00 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1909,0%@1907,0%@1907,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3348mW VDD_CPU_GPU_CV 372mW/418mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:01 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1910,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3346mW VDD_CPU_GPU_CV 372mW/416mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:02 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,1%@1907,0%@1904,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3343mW VDD_CPU_GPU_CV 372mW/414mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:03 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1909,0%@1907,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.65C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3341mW VDD_CPU_GPU_CV 372mW/413mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:04 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1908,0%@1906,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3340mW VDD_CPU_GPU_CV 372mW/411mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:05 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1908,0%@1908,0%@1908,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3337mW VDD_CPU_GPU_CV 372mW/410mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:06 RAM 591/6854MB (lfb 1399x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1904,0%@1908,0%@1905,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3336mW VDD_CPU_GPU_CV 372mW/409mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:07 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [33%@1907,0%@1907,0%@1896,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3436mW/3340mW VDD_CPU_GPU_CV 496mW/411mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:08 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1895,0%@1912,0%@1904,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@30C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3339mW VDD_CPU_GPU_CV 372mW/410mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:09 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3337mW VDD_CPU_GPU_CV 372mW/409mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:10 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3335mW VDD_CPU_GPU_CV 372mW/408mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:11 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1907,0%@1907,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3334mW VDD_CPU_GPU_CV 372mW/407mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:12 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,1%@1908,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3333mW VDD_CPU_GPU_CV 372mW/406mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:13 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1908,0%@1907,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3333mW VDD_CPU_GPU_CV 372mW/405mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:14 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1906,0%@1908,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29.5C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3331mW VDD_CPU_GPU_CV 372mW/404mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:15 RAM 656/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1906,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3330mW VDD_CPU_GPU_CV 372mW/403mW VDD_SOC 1323mW/1324mW
12-15-2025 15:03:16 RAM 655/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,1%@1905,0%@1902,0%@1903,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@30C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3328mW VDD_CPU_GPU_CV 372mW/402mW VDD_SOC 1323mW/1323mW
12-15-2025 15:03:17 RAM 655/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1907,0%@1907,0%@1907,0%@1894,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3327mW VDD_CPU_GPU_CV 372mW/402mW VDD_SOC 1323mW/1323mW
12-15-2025 15:03:18 RAM 655/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1907,0%@1909,0%@1910,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3325mW VDD_CPU_GPU_CV 372mW/401mW VDD_SOC 1323mW/1323mW
12-15-2025 15:03:19 RAM 655/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1908,0%@1907,0%@1909,0%@1908,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3312mW/3325mW VDD_CPU_GPU_CV 372mW/400mW VDD_SOC 1323mW/1323mW
12-15-2025 15:03:20 RAM 655/6854MB (lfb 1383x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,0%@1908,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@37C PMIC@50C VDD_IN 3271mW/3324mW VDD_CPU_GPU_CV 372mW/400mW VDD_SOC 1323mW/1323mW
